time,open,high,low,close,volume
1560211200,2885.67,2910.27,2878.469,2884.369,34.1113
1560297600,2884.369,2889.87,2874.37,2883.67,32.3455
1560384000,2883.67,2894.77,2865.67,2889.57,48.9122
1560470400,2889.869,2897.07,2878.969,2889.07,45.5058
1560643200,2890.369,2896.07,2889.87,2894.069,1.3426
1560729600,2894.269,2899.07,2886.67,2890.77,22.9092
1560816000,2890.97,2931.169,2883.469,2923.27,49.7918
1560902400,2923.27,2937.366,2910.27,2935.57,43.7369
1560988800,2935.57,2958.57,2931.07,2952.47,37.6635
1561075200,2952.469,2964.069,2942.769,2945.77,42.6302
1561248000,2944.769,2951.27,2943.969,2950.269,2.7482
1561334400,2950.269,2956.47,2943.87,2947.269,37.9068
1561420800,2947.469,2952.969,2912.47,2915.97,44.5571
1561507200,2915.969,2933.97,2909.97,2913.47,39.8496
1561593600,2913.769,2932.67,2912.469,2931.47,34.134
1561680000,2931.67,2950.67,2925.67,2950.17,29.9928
1561852800,2965.169,2972.97,2964.17,2966.97,3.2661
1561939200,2967.069,2977.57,2951.469,2959.67,37.4978
1562025600,2959.87,2976.57,2954.47,2973.97,31.8126
1562112000,2973.669,3000.17,2969.97,2995.869,19.7196
1562198400,2995.669,2999.97,2993.669,2998.569,13.2901
1562284800,2998.569,2999.87,2967.469,2986.87,33.9874
1562457600,2990.17,2990.869,2984.869,2985.17,1.7799
1562544000,2985.17,2985.67,2969.67,2970.97,32.2627
1562630400,2970.969,2981.87,2958.969,2977.57,30.6813
1562716800,2977.77,3003.17,2967.07,2992.969,36.3155
1562803200,2992.969,3002.17,2988.669,3001.169,30.0118
1562889600,3001.169,3013.67,3000.669,3010.57,25.019
1563062400,3010.769,3012.57,3008.569,3009.07,0.8689
1563148800,3009.07,3019.27,3006.57,3015.37,18.7812
1563235200,3015.37,3017.37,3000.269,3002.569,19.3359
1563321600,3002.569,3008.87,2976.97,2978.17,20.2001
1563408000,2978.17,3006.569,2970.669,2997.369,47.9271
1563494400,2997.569,3006.569,2973.769,2974.57,50.1025
1563667200,2971.97,2977.47,2969.669,2976.17,2.8392
1563753600,2976.47,2990.97,2971.57,2986.87,40.9661
1563840000,2987.07,3005.87,2985.069,3003.17,22.2539
1563926400,3002.97,3019.87,2993.67,3018.87,22.8954
1564012800,3018.87,3025.37,2996.77,3007.27,35.4027
1564099200,3007.47,3028.07,3006.269,3022.47,19.6208
1564272000,3021.969,3024.27,3021.469,3021.97,1.5269
1564358400,3021.77,3025.77,3014.369,3022.77,25.8473
1564444800,3022.97,3025.77,3000.069,3014.47,36.7301
1564531200,3014.47,3019.17,2956.769,2971.77,91.4703
1564617600,2971.97,3013.97,2941.669,2945.37,110.346
