time,open,high,low,close,volume
1560178800,2896.37,2904.87,2896.169,2903.67,2.4177
1560182400,2903.87,2904.17,2894.67,2894.869,2.0903
1560186000,2895.17,2898.87,2891.87,2893.37,2.3149
1560189600,2893.37,2894.17,2886.169,2893.87,3.2644
1560193200,2893.87,2894.87,2885.37,2885.87,3.5686
1560196800,2886.069,2888.47,2885.369,2888.47,0.4557
1560204000,2889.17,2889.37,2885.87,2887.87,0.7168
1560207600,2887.87,2887.87,2885.369,2885.67,0.3397
1560211200,2885.67,2891.17,2885.169,2890.669,0.9797
1560214800,2890.87,2894.67,2890.67,2894.37,1.5817
1560218400,2894.669,2895.17,2893.37,2895.17,0.5014
1560222000,2895.17,2895.17,2893.169,2893.37,0.4037
1560225600,2893.17,2895.17,2892.669,2894.17,0.2032
1560229200,2894.369,2895.67,2893.369,2895.67,0.407
1560232800,2895.669,2896.17,2893.369,2893.67,0.5519
1560236400,2893.67,2896.17,2891.87,2894.67,1.1884
1560240000,2894.87,2898.67,2894.669,2898.169,0.9654
1560243600,2898.169,2902.37,2896.869,2901.669,1.069
1560247200,2901.37,2902.87,2900.37,2900.37,0.5754
1560250800,2900.369,2901.87,2899.17,2901.17,0.5335
1560254400,2901.37,2906.67,2901.17,2904.87,0.7889
1560258000,2905.17,2910.27,2899.47,2901.769,4.0209
1560261600,2901.97,2904.27,2890.17,2893.67,5.2938
1560265200,2893.97,2896.17,2887.169,2888.47,3.3793
1560268800,2888.47,2888.67,2878.469,2878.969,3.5305
1560272400,2878.969,2888.17,2878.47,2887.67,1.9593
1560276000,2887.969,2890.97,2881.469,2883.67,1.972
1560279600,2883.67,2887.47,2880.17,2885.17,2.6026
1560283200,2885.47,2886.07,2884.07,2885.57,0.3093
1560290400,2886.37,2886.37,2883.57,2885.37,0.529
1560294000,2885.369,2887.57,2883.57,2884.369,0.7654
1560297600,2884.369,2889.87,2883.57,2887.07,1.3796
1560301200,2887.369,2887.87,2881.869,2885.57,2.0278
1560304800,2885.57,2886.07,2883.369,2883.87,0.6671
1560308400,2883.87,2886.07,2883.57,2884.87,0.5108
1560312000,2885.07,2885.07,2883.87,2884.37,0.1527
1560315600,2884.37,2884.87,2879.07,2879.87,0.5589
1560319200,2879.87,2880.07,2876.57,2876.869,1.1244
1560322800,2877.07,2882.069,2877.07,2879.37,1.6737
1560326400,2879.57,2883.369,2877.369,2877.87,1.8674
1560330000,2878.069,2879.57,2875.37,2876.07,1.1623
1560333600,2876.07,2880.87,2874.37,2880.87,1.1374
1560337200,2881.07,2881.87,2876.87,2877.07,1.0315
1560340800,2877.37,2882.47,2877.069,2879.369,1.3663
1560344400,2879.57,2888.97,2879.37,2884.67,3.9505
1560348000,2884.969,2885.97,2876.669,2879.47,3.6509
1560351600,2878.97,2881.47,2874.669,2874.669,2.7459
1560355200,2874.969,2881.97,2874.47,2880.47,2.2749
1560358800,2880.669,2881.67,2877.47,2880.17,1.4506
1560362400,2880.47,2881.67,2876.47,2880.47,1.2873
1560366000,2880.669,2880.97,2876.67,2879.97,1.4852
1560369600,2879.47,2880.57,2878.97,2880.37,0.2543
1560376800,2880.37,2883.37,2879.67,2882.67,0.3661
1560380400,2882.87,2884.67,2882.369,2883.67,0.2198
1560384000,2883.67,2886.67,2882.869,2884.87,1.2147
1560387600,2885.169,2886.17,2877.17,2878.17,2.0298
1560391200,2878.17,2878.37,2865.67,2871.67,3.3862
1560394800,2871.67,2878.67,2871.17,2875.17,1.6338
1560398400,2875.37,2876.269,2873.169,2875.17,0.6827
1560402000,2875.17,2877.17,2872.169,2876.17,1.5069
1560405600,2876.369,2878.37,2874.369,2876.67,1.7694
1560409200,2876.67,2887.67,2874.169,2884.87,3.1992
1560412800,2884.87,2890.87,2883.37,2888.87,1.8329
1560416400,2888.869,2890.67,2886.869,2886.869,1.1076
1560420000,2887.169,2892.67,2885.87,2892.67,1.0966
1560423600,2892.67,2892.67,2887.369,2888.87,1.0183
1560427200,2888.67,2890.17,2885.669,2889.17,1.5396
1560430800,2889.17,2894.77,2886.469,2891.969,4.5482
1560434400,2892.269,2893.27,2883.77,2884.369,5.5367
1560438000,2884.669,2888.87,2881.669,2888.17,3.9392
1560441600,2888.17,2892.37,2885.369,2892.37,2.8405
1560445200,2892.67,2894.17,2889.169,2890.87,2.1395
1560448800,2891.169,2891.37,2884.67,2887.37,2.1099
1560452400,2887.37,2892.77,2881.67,2891.97,3.833
1560456000,2892.27,2893.37,2891.169,2893.17,0.478
1560463200,2892.07,2892.07,2888.57,2890.87,0.5796
1560466800,2890.869,2892.569,2889.569,2889.57,0.8898
1560470400,2889.869,2892.97,2887.769,2891.07,1.8098
1560474000,2891.07,2897.07,2890.369,2894.07,2.5994
1560477600,2894.369,2896.07,2892.569,2896.07,1.6776
1560481200,2896.37,2896.37,2894.57,2895.07,0.5861
1560484800,2895.069,2896.57,2894.369,2895.87,0.3561
1560488400,2895.869,2895.87,2893.869,2894.37,0.485
1560492000,2894.37,2894.37,2887.07,2888.37,1.2507
1560495600,2888.366,2891.37,2885.37,2888.07,2.833
1560499200,2888.37,2889.07,2883.57,2885.57,1.8249
1560502800,2885.569,2887.57,2883.069,2884.87,1.1367
1560506400,2885.07,2885.57,2880.369,2883.37,1.483
1560510000,2883.57,2887.37,2883.069,2886.87,1.3298
1560513600,2886.87,2888.37,2885.07,2886.57,2.2242
1560517200,2886.87,2890.07,2878.969,2881.37,5.9651
1560520800,2881.169,2887.67,2879.47,2885.969,7.4041
1560524400,2885.969,2887.47,2879.169,2884.169,4.9403
1560528000,2884.169,2884.97,2881.469,2884.47,2.3486
1560531600,2884.47,2885.17,2882.17,2882.47,1.3491
1560535200,2882.469,2887.17,2882.17,2886.67,1.3528
1560538800,2886.969,2894.47,2886.669,2886.97,2.1213
1560542400,2887.169,2890.37,2886.97,2889.07,0.428
1560722400,2890.369,2893.37,2889.87,2892.569,0.8536
1560726000,2892.87,2896.07,2891.57,2894.069,0.4891
1560729600,2894.269,2894.37,2891.57,2893.87,1.1914
1560733200,2893.87,2899.07,2892.37,2898.37,1.7934
1560736800,2898.57,2898.57,2896.57,2897.87,0.8481
1560740400,2897.869,2898.07,2896.069,2897.07,0.4742
1560744000,2897.07,2897.37,2895.869,2896.57,0.1571
1560747600,2896.57,2897.57,2895.569,2895.87,0.4394
1560751200,2895.869,2895.87,2893.369,2893.57,0.484
1560754800,2893.57,2894.57,2890.57,2891.87,1.1815
1560758400,2892.069,2893.87,2891.07,2893.07,0.6988
1560762000,2893.369,2894.57,2891.869,2892.369,0.6163
1560765600,2892.57,2892.87,2889.37,2890.07,0.4793
1560769200,2890.37,2894.37,2889.369,2893.57,0.6096
1560772800,2893.869,2894.369,2888.369,2888.87,0.8733
1560776400,2888.87,2894.17,2886.67,2892.47,2.968
1560780000,2892.669,2897.17,2890.67,2895.169,2.9602
1560783600,2895.169,2896.97,2891.469,2892.47,1.9556
1560787200,2892.47,2893.17,2890.17,2892.67,1.1238
1560790800,2892.67,2895.17,2891.97,2894.97,0.7165
1560794400,2895.17,2896.47,2892.17,2892.47,0.81
1560798000,2892.47,2894.17,2886.97,2889.17,1.7878
1560801600,2889.499,2891.07,2888.869,2890.87,0.2471
1560808800,2892.37,2892.97,2891.47,2891.47,0.2674
1560812400,2891.769,2892.769,2890.27,2890.77,0.2263
1560816000,2890.97,2893.269,2890.269,2892.47,0.6792
1560819600,2892.77,2894.47,2890.769,2891.469,1.0447
1560823200,2891.469,2893.47,2890.97,2892.77,0.556
1560826800,2892.969,2893.47,2889.47,2890.27,0.289
1560830400,2889.97,2890.27,2888.97,2889.969,0.2009
1560834000,2889.969,2890.47,2887.47,2888.27,0.4553
1560837600,2888.47,2890.27,2887.97,2890.27,0.4157
1560841200,2890.269,2890.47,2883.469,2886.27,2.2493
1560844800,2886.27,2901.97,2885.269,2898.97,4.5012
1560848400,2898.97,2900.47,2897.269,2898.27,1.8769
1560852000,2898.47,2906.77,2897.469,2905.769,1.453
1560855600,2905.769,2909.27,2904,2908.27,1.3154
1560859200,2908.269,2910.27,2906.969,2908.27,2.197
1560862800,2908.269,2926.87,2904.869,2922.57,9.3653
1560866400,2922.47,2930.37,2920.87,2928.87,8.2908
1560870000,2929.169,2931.169,2918.67,2918.87,3.5964
1560873600,2918.87,2922.67,2917.37,2920.67,2.2379
1560877200,2920.67,2920.67,2914.27,2919.67,2.3755
1560880800,2919.87,2923.669,2919.37,2920.17,1.8569
1560884400,2920.17,2921.17,2914.37,2918.17,3.2035
1560888000,2918.369,2921.57,2917.869,2921.47,0.5543
1560895200,2919.77,2922.07,2918.569,2921.27,0.5395
1560898800,2921.57,2924.27,2921.069,2923.27,0.538
1560902400,2923.27,2925.07,2922.069,2923.07,1.0995
1560906000,2923.07,2923.77,2919.069,2921.069,1.917
1560909600,2921.069,2922.27,2919.569,2921.57,1.0109
1560913200,2921.77,2922.77,2921.07,2922.27,0.4868
1560916800,2922.269,2922.57,2921.269,2921.77,0.1285
1560920400,2921.769,2923.07,2921.27,2921.77,0.4864
1560924000,2921.77,2922.57,2920.269,2920.27,0.5471
1560927600,2920.07,2923.07,2920.069,2921.27,1.1529
1560931200,2921.27,2922.27,2916.569,2917.771,0.8344
1560934800,2918.07,2920.77,2917.57,2920.57,0.7703
1560938400,2920.569,2922.57,2919.269,2921.57,0.6454
1560942000,2921.57,2921.57,2919.27,2921.569,0.7159
1560945600,2921.569,2922.77,2920.07,2921.57,0.8301
