time,open,high,low,close,volume
1734652800,5934.5,5937.75,5934.5,5934.5,1545
1734653100,5934.25,5934.5,5927.75,5928.25,2819
1734653400,5928.25,5930.0,5925.5,5928.75,1987
1734653700,5928.75,5929.75,5918.25,5922.75,3664
1734654000,5923.0,5925.25,5920.25,5921.5,1334
1734654300,5921.25,5923.0,5920.5,5922.5,820
1734654600,5922.5,5925.75,5922.5,5925.0,745
1734654900,5924.75,5925.5,5921.75,5923.5,684
1734655200,5923.5,5923.75,5917.5,5917.75,1698
1734655500,5917.75,5920.5,5916.5,5919.0,1492
1734655800,5918.75,5919.5,5914.0,5914.75,2190
1734656100,5915.0,5916.0,5913.0,5915.0,1021
1734656400,5915.25,5918.25,5914.5,5917.0,951
1734656700,5917.25,5917.75,5913.5,5915.0,895
1734657000,5915.5,5919.0,5912.75,5915.25,1198
1734657300,5915.25,5918.5,5914.75,5916.0,1034
1734657600,5916.0,5916.75,5914.0,5916.5,626
1734657900,5916.75,5918.25,5915.25,5917.75,558
1734658200,5918.0,5920.25,5917.25,5919.0,930
1734658500,5918.75,5919.5,5916.75,5916.75,529
1734658800,5917.0,5917.25,5914.5,5915.25,836
1734659100,5915.25,5917.0,5913.0,5913.25,1070
1734659400,5913.25,5918.25,5913.0,5915.75,1206
1734659700,5915.75,5916.5,5912.5,5913.25,659
1734660000,5913.5,5913.75,5909.75,5912.25,1678
1734660300,5912.0,5912.5,5909.25,5909.75,660
1734660600,5909.5,5911.75,5909.0,5910.0,782
1734660900,5910.0,5910.0,5908.25,5909.0,558
1734661200,5909.25,5909.75,5905.25,5906.5,2572
1734661500,5907.0,5910.0,5906.75,5909.5,896
1734661800,5909.5,5909.75,5906.0,5906.75,820
1734662100,5906.75,5909.75,5906.5,5909.0,656
1734662400,5909.0,5909.75,5906.75,5909.5,616
1734662700,5909.5,5911.0,5909.5,5910.5,595
1734663000,5910.5,5912.75,5910.25,5912.5,886
1734663300,5912.5,5912.5,5911.5,5912.0,399
1734663600,5912.0,5914.5,5911.75,5912.75,1030
1734663900,5913.0,5913.5,5912.25,5912.25,371
1734664200,5912.25,5913.75,5910.75,5910.75,383
1734664500,5911.0,5912.75,5910.75,5911.25,295
1734664800,5911.5,5914.25,5911.0,5913.75,422
1734665100,5913.75,5913.75,5910.75,5910.75,536
1734665400,5911.0,5911.0,5906.75,5908.0,860
1734665700,5908.0,5909.75,5908.0,5908.25,481
1734666000,5908.25,5909.0,5903.75,5904.25,1808
1734666300,5904.5,5904.5,5901.75,5903.75,1616
1734666600,5903.75,5906.75,5903.75,5904.75,806
1734666900,5905.0,5905.5,5904.0,5905.0,541
1734667200,5905.0,5910.75,5904.75,5910.5,1198
1734667500,5910.5,5911.0,5909.25,5910.0,737
1734667800,5910.0,5911.0,5909.5,5909.75,669
1734668100,5909.75,5910.25,5907.5,5908.0,557
1734668400,5908.25,5909.75,5907.5,5909.25,622
