time,open,high,low,close,volume
1560211200,243.7,244.9,233.4,241.1,18.2577
1560297600,241.2,259.4,238.8,258.7,19.0177
1560384000,258.8,260.4,250.2,251.1,17.9198
1560470400,251.1,254.5,248.2,253.8,13.5597
1560643200,265.1,274.8,259.3,264.1,20.5807
1560729600,264.2,271.6,262.7,269.7,19.0772
1560816000,269.8,270.1,256.5,260.2,18.1787
1560902400,260.1,265.9,258.5,264.7,17.2432
1560988800,264.8,270.3,261.8,267.9,17.8167
1561075200,268,292.7,267.7,291,42.9832
1561248000,304.3,313.6,300.4,303.4,53.434
1561334400,303.5,309.9,292.2,307.8,214.736
1561420800,306.7,314.3,301.8,312.4,185.2632
1561507200,313.4,360.3,310.7,331.5,395.3996
1561593600,331.6,340.3,271.3,290.5,506.7335
1561680000,290.4,309.5,286.7,302.7,305.5755
1561852800,312.6,319.2,282.7,287.1,73.3905
1561939200,287.2,298.2,274.6,290.5,307.7062
1562025600,290.6,292.9,267.3,288,305.424
1562112000,287.1,300.4,285.9,298.9,232.839
1562198400,298.8,300.2,277.1,279.6,189.9178
1562284800,279.7,291.8,276.8,283.7,178.3195
1562457600,283.4,307.7,280,303.1,36.6295
1562544000,302.1,311.9,298.4,310.2,156.051
1562630400,310.1,315.5,299.2,304.7,177.303
1562716800,304.6,311.7,278.7,285.6,248.5022
1562803200,284.4,285.6,259.3,265.6,294.7072
1562889600,265.7,276.9,262.4,274.1,189.1203
1563062400,265,265.7,219.7,223,60.178
1563148800,222.9,232.6,199.9,225.2,307.7225
1563235200,225.1,231.5,187.7,195.7,342.7345
1563321600,195.8,216.9,189.4,208.3,295.6525
1563408000,208.4,226.9,203,222.1,268.1505
1563494400,223.2,223.7,210.2,217.4,224.966
1563667200,224.8,225.7,213.2,221.5,36.7065
1563753600,221.4,225.2,208.3,214.1,187.109
1563840000,213.1,216.2,204.8,208.9,153.132
1563926400,209,215.1,197.9,213.4,185.724
1564012800,213.5,222.8,211.7,216.2,169.664
1564099200,216.1,217.6,209.2,215.2,127.6165
1564272000,203.1,210.3,194.7,208.2,43.5695
1564358400,208.3,212.2,203,207.6,139.6028
1564444800,206.5,211.5,201.2,206.7,118.6202
1564531200,206.8,215.8,205.5,214.5,113.1325
1564617600,215.5,215.9,207.9,213.4,97.6765
1564704000,213.3,219.8,210.9,212.7,78.6072
1564876800,217.9,220.7,213.4,218.7,24.5415
1564963200,219.8,233.9,218.8,229.8,139.4175
1565049600,229.9,236.5,218.6,222.9,136.332
1565136000,222.8,228.1,217.2,223,139.165
1565222400,221.9,223.5,211.5,217.8,104.0445
1565308800,216.8,218.2,202.7,206.2,91.409
1565481600,201.9,213.6,201.6,213.1,13.323
1565568000,213.2,213.5,205.9,207.1,69.945
1565654400,208.1,208.2,199.8,205.4,83.672
1565740800,204.3,206.1,178.9,183.3,132.6795
1565827200,183.2,186.7,170.6,185,153.8275
1565913600,184.9,185,175.2,181,112.8633
1566086400,181.4,193.9,179.2,190.5,14.87
1566172800,190.5,200.5,188.9,199.3,93.6225
1566259200,199.4,199.8,190.6,193.5,76.1355
1566345600,193.4,194,176.9,184,94.4575
1566432000,184.2,192,178.8,186.4,104.645
1566518400,186.4,193.6,184.6,189.7,73.52
1566691200,186.8,188.4,178.9,183.4,11.27
1566777600,183.5,191.2,181.6,185.3,66.646
1566864000,184.2,186,180.4,182.8,48.454
1566950400,182.9,185,162.9,169.8,66.4948
1567036800,168.7,170.4,159.7,164.7,39.1555
1567123200,164.8,166.3,161.7,165,8.282
1567296000,166.4,168.4,166.2,167.1,1.141
1567382400,167.2,178.6,166.5,175.5,51.5275
1567468800,175.7,179.9,171.3,174.9,66.449
1567555200,175,177.4,169.9,170.8,64.276
1567641600,171.8,172.7,166.4,169.8,53.372
1567728000,171,175.5,162,165.7,55.852
1567900800,174,180.4,172.8,178.5,12.229
1567987200,178.4,183.1,172,177.5,66.12
1568073600,176.5,181.5,172.6,176.7,59.641
1568160000,176.5,179.2,170.8,174.2,60.499
1568246400,174.3,179.7,172.4,178,35.914
1568332800,177.9,178.7,173.7,177.9,37.6495
1568505600,184.8,187.2,182.3,185.2,9.0785
1568592000,185.2,196.5,184.5,193.5,66.807
1568678400,194.7,212.1,192,204.8,88.5965
1568764800,204.9,214.3,203.7,206.1,93.97
1568851200,206.1,221.4,198.4,217.8,112.4185
1568937600,216.7,219.1,209,213.1,82.0835
1569110400,210.8,211.2,202,208.1,19.629
1569196800,208.2,208.6,195.1,198,94.357
1569283200,196.9,199.5,151.3,163.3,204.9857
1569369600,163.2,172,158.7,165.9,160.9805
1569456000,165.9,167.9,149.2,162.9,125.3355
1569542400,161.8,168.7,157.4,168,74.0575
1569715200,169.8,170.7,160.4,165.2,18.4845
1569801600,165.2,178.7,161.2,178.2,103.1805
1569888000,178.1,182.8,170.5,173,127.784
1569974400,172,178.5,170.1,177.8,64.229
1570060800,177.9,178.2,166.7,172,68.5085
1570147200,170.9,176.5,167.2,174.2,55.2825
1570320000,172.6,173,163.5,167,16.045
1570406400,165,179.5,164.6,177.3,86.15
1570492800,176.2,182.2,173.2,177.7,87.5585
1570579200,176.7,192.9,175.3,190.2,95.617
1570665600,190.1,191.8,184,188.7,73.072
1570752000,187.7,194.5,176.5,178.8,90.616
1570924800,175.7,180.7,174.7,178,13.9025
