time,open,high,low,close,volume
1560182400,239.4,242.5,237.7,241,3.513
1560196800,241.1,244.1,238.5,243.7,3.4025
1560211200,243.7,244.9,239.5,241.2,2.9425
1560225600,241.1,243.1,239.2,242.2,2.57
1560240000,242.3,243.1,234.2,236.3,3.1692
1560254400,236.3,238.2,234.4,235.8,3.2282
1560268800,235.7,240.1,233.4,239.6,3.213
1560283200,239.6,244,238.9,241.1,3.1347
1560297600,241.2,246.7,238.8,244.5,3.6118
1560312000,244.6,245.7,242.5,244.2,2.587
1560326400,244.2,245.9,241.8,244.8,2.928
1560340800,244.8,252.5,243.4,251,3.3225
1560355200,251,256.4,250.2,253.3,3.4057
1560369600,253.2,259.4,249.5,258.7,3.1628
1560384000,258.8,260.4,254.3,255.5,2.7675
1560398400,254.7,256.5,253.8,255.8,2.5222
1560412800,255.9,256,251.4,253.4,2.5905
1560427200,253.5,258.2,252,256.4,2.9182
1560441600,256.4,257.9,253.8,255.3,3.4777
1560456000,255.3,257.9,250.2,251.1,3.6435
1560470400,251.1,253.1,248.2,249.6,2.754
1560484800,249.6,252,248.4,252,2.403
1560499200,252.1,253.6,249.8,250.6,2.5057
1560513600,250.6,254.5,249,252.6,2.6062
1560528000,252.6,254.1,250.3,251.6,2.5717
1560542400,251.6,254.1,251.5,253.8,0.719
1560715200,261.9,267.3,261.7,264.1,2.1558
1560729600,264.2,269.8,264.1,266.2,2.9375
1560744000,266.2,266.7,262.7,265.3,2.6258
1560758400,265.3,269.8,265,268.4,3.1413
1560772800,268.5,271.3,264.8,265.3,3.6525
1560787200,265.2,269.8,265.2,268.6,2.7402
1560801600,268.7,271.6,266.7,269.7,3.98
1560816000,269.8,270.1,264.7,266.8,2.6798
1560830400,266.9,267.6,261.3,263.7,2.946
1560844800,263.8,266.3,261.9,262.9,2.835
1560859200,262.8,264.7,259.3,262.6,3.0313
1560873600,262.6,262.7,257.6,260.1,3.0162
1560888000,260.1,260.7,256.5,260.2,3.6705
1560902400,260.1,263.1,258.5,261.5,2.7245
1560916800,261.6,264.9,261,264.8,2.429
1560931200,263.9,265.9,261.9,263.2,2.8215
1560945600,263.3,263.5,260.2,262.7,2.895
1560960000,262.6,263.8,261.5,262.7,3.0808
1560974400,262.6,265.6,261.4,264.7,3.2925
1560988800,264.8,267.1,263,266.1,2.634
1561003200,265.3,266.5,263.3,264.1,2.809
1561017600,264,264.3,261.8,263.7,2.7167
1561032000,263.7,266.1,262.2,265.4,3.3265
1561046400,265.4,265.8,262.6,264.5,2.6535
1561060800,264.4,270.3,264.2,267.9,3.677
1561075200,268,280.7,267.7,276.4,3.862
1561089600,276.4,283.9,274.9,283,3.28
1561104000,283,287.4,280.6,284.9,3.3737
1561118400,284.8,286.3,278.9,280.9,3.7432
1561132800,281,292.7,281,291.6,16.9623
1561147200,290.5,291.7,286.4,291,11.762
1561320000,309.4,313.6,300.5,303.4,31.295
1561334400,303.5,303.5,292.2,298.9,48.121
1561348800,299,304.3,297,303.5,31.557
1561363200,303.4,306.8,301.8,304.9,32.262
1561377600,303.8,306.8,301.5,304.5,31.251
1561392000,303.4,309.9,302.4,303.7,42.405
1561406400,303.8,309.1,301,307.8,29.14
1561420800,306.7,309.8,305.2,306.1,28.9305
1561435200,307.2,311.7,306.3,310,34.5085
1561449600,310.1,311.6,307,308.9,31.0775
1561464000,309,309.7,301.8,306.6,34.7753
1561478400,306.6,309.3,305.1,305.1,23.9949
1561492800,305.1,314.3,305.1,312.4,31.9766
1561507200,313.4,331,310.7,326.7,43.353
1561521600,326.8,334.2,322.5,324.6,62.9106
1561536000,324.7,335.8,323.9,335.8,43.5995
1561550400,335.9,346.3,335,342.2,55.3525
1561564800,342.3,353.2,338.8,347.7,79.6572
1561579200,347.5,360.3,313,331.5,110.5268
1561593600,331.6,340.3,323,331.5,75.314
1561608000,331.4,333.8,314,319.2,67.1975
1561622400,319.1,319.3,294.9,309.5,90.7073
