time,open,high,low,close,volume
1560182400,14.698,14.705,14.637,14.7,370.7472
1560196800,14.701,14.709,14.673,14.707,40.8904
1560211200,14.708,14.731,14.675,14.698,272.0276
1560225600,14.698,14.726,14.654,14.667,359.1118
1560240000,14.664,14.699,14.645,14.652,355.2206
1560254400,14.655,14.767,14.642,14.742,801.6502
1560268800,14.739,14.79,14.722,14.742,293.5005
1560283200,14.741,14.749,14.722,14.748,42.3119
1560297600,14.748,14.819,14.717,14.791,349.0555
1560312000,14.793,14.871,14.783,14.864,494.3571
1560326400,14.863,14.864,14.769,14.785,588.1034
1560340800,14.78,14.839,14.748,14.797,1034.8045
1560355200,14.792,14.831,14.745,14.767,381.855
1560369600,14.758,14.777,14.752,14.767,35.1869
1560384000,14.766,14.807,14.732,14.756,344.3467
1560398400,14.757,14.847,14.755,14.829,381.4551
1560412800,14.828,14.848,14.793,14.815,292.2227
1560427200,14.814,14.886,14.761,14.872,829.1692
1560441600,14.872,14.925,14.857,14.883,309.745
1560456000,14.884,14.928,14.875,14.92,50.5963
1560470400,14.916,14.968,14.888,14.922,355.757
1560484800,14.925,15.047,14.909,15.026,505.7946
1560499200,15.026,15.062,14.989,15.05,415.3194
1560513600,15.051,15.11,14.887,14.907,1411.1191
1560528000,14.908,14.916,14.785,14.851,642.2111
1560542400,14.849,14.864,14.833,14.833,20.039
1560715200,14.856,14.872,14.817,14.82,53.2408
1560729600,14.82,14.881,14.784,14.872,390.5215
1560744000,14.871,14.876,14.794,14.806,590.7553
1560758400,14.807,14.828,14.768,14.81,575.7596
1560772800,14.81,14.897,14.809,14.862,817.3675
1560787200,14.861,14.876,14.81,14.836,189.4912
1560801600,14.837,14.84,14.817,14.827,48.5253
1560816000,14.828,14.86,14.806,14.831,266.2868
1560830400,14.831,14.92,14.828,14.858,443.8905
1560844800,14.856,14.959,14.839,14.956,880.0097
1560859200,14.955,15.078,14.87,14.97,1515.005
1560873600,14.965,15.028,14.96,14.994,375.0293
1560888000,14.996,15.005,14.98,14.998,64.7914
1560902400,14.998,15.022,14.927,14.966,401.0363
1560916800,14.966,15.005,14.927,14.952,450.1877
1560931200,14.953,14.954,14.91,14.917,424.3883
1560945600,14.917,15.009,14.915,14.969,794.5315
1560960000,14.968,15.123,14.919,15.12,1542.8499
1560974400,15.119,15.169,15.108,15.118,191.6206
1560988800,15.119,15.3,15.114,15.245,1333.8753
1561003200,15.244,15.387,15.22,15.339,1058.3706
1561017600,15.333,15.396,15.324,15.356,930.4941
1561032000,15.357,15.415,15.27,15.386,1651.389
1561046400,15.386,15.508,15.375,15.432,984.9331
1561060800,15.424,15.456,15.398,15.45,115.1673
1561075200,15.449,15.549,15.423,15.486,1326.5516
1561089600,15.486,15.503,15.155,15.187,1419.3604
1561104000,15.185,15.381,15.155,15.311,1389.2255
1561118400,15.31,15.365,15.195,15.296,1888.9451
1561132800,15.288,15.34,15.231,15.323,750.2973
1561147200,15.321,15.335,15.299,15.309,41.4253
1561320000,15.328,15.426,15.328,15.404,267.952
1561334400,15.405,15.433,15.315,15.329,958.0105
1561348800,15.329,15.395,15.311,15.328,706.4712
1561363200,15.328,15.389,15.318,15.368,693.5331
1561377600,15.368,15.457,15.283,15.402,1380.4222
1561392000,15.401,15.46,15.367,15.437,545.1189
1561406400,15.435,15.473,15.416,15.464,227.0332
1561420800,15.466,15.494,15.419,15.492,1201.7584
1561435200,15.493,15.506,15.339,15.45,1704.5048
1561449600,15.443,15.496,15.376,15.386,1026.047
1561464000,15.384,15.48,15.323,15.443,1659.9662
1561478400,15.444,15.478,15.266,15.34,1723.0834
1561492800,15.339,15.373,15.29,15.305,295.7367
1561507200,15.305,15.338,15.171,15.19,1144.3105
1561521600,15.192,15.28,15.171,15.269,953.6281
1561536000,15.269,15.329,15.235,15.237,1223.428
1561550400,15.239,15.344,15.226,15.325,1340.4013
1561564800,15.324,15.348,15.263,15.278,511.3047
1561579200,15.279,15.295,15.246,15.283,126.133
1561593600,15.283,15.291,15.22,15.247,788.6347
1561608000,15.246,15.251,15.168,15.205,747.4951
1561622400,15.201,15.261,15.2,15.216,937.2774
1561636800,15.214,15.272,15.152,15.167,1112.5426
1561651200,15.167,15.253,15.15,15.245,317.7439
1561665600,15.244,15.274,15.227,15.265,101.4628
1561680000,15.267,15.332,15.257,15.284,805.5092
1561694400,15.285,15.308,15.199,15.253,1030.9613
1561708800,15.254,15.271,15.205,15.232,726.4352
1561723200,15.231,15.312,15.195,15.3,1320.1367
1561737600,15.301,15.324,15.267,15.307,450.959
1561752000,15.305,15.307,15.27,15.277,14.2247
1561924800,15.189,15.234,15.112,15.186,306.6672
1561939200,15.182,15.262,15.17,15.2,759.2759
1561953600,15.205,15.232,15.11,15.228,902.4873
1561968000,15.227,15.293,15.205,15.274,617.1817
1561982400,15.274,15.294,15.17,15.197,1330.1203
1561996800,15.195,15.209,15.119,15.131,492.5333
1562011200,15.131,15.165,15.108,15.142,152.3167
1562025600,15.14,15.194,15.121,15.16,449.0203
1562040000,15.164,15.199,15.15,15.176,442.4079
1562054400,15.17,15.181,15.131,15.134,335.5017
1562068800,15.135,15.244,15.033,15.224,1287.3293
1562083200,15.223,15.281,15.183,15.265,668.9074
1562097600,15.263,15.378,15.255,15.37,547.6047
1562112000,15.369,15.454,15.288,15.302,1283.7109
