time,open,high,low,close,volume
1680750000,28155.72,28168.01,27903.44,27983.69,3354
1680753600,27983.69,28076.87,27859.16,28048.26,3521
1680757200,28048.26,28081.61,27963.24,28028.65,2409
1680760800,28028.65,28142.66,28011.31,28115.44,1880
1680764400,28116.74,28118.76,28054.97,28056.65,1504
1680768000,28056.51,28072.76,27947.48,28024.7,2120
1680771600,28024.7,28062.99,27996.55,28054.78,1506
1680775200,28054.78,28081.04,27898.29,27898.29,2175
1680778800,27898.29,27977.01,27838.73,27941.33,2901
1680782400,27941.32,28016.85,27886.98,27893.4,2257
1680786000,27893.4,27897.88,27689.21,27836.34,3705
1680789600,27836.34,27940.75,27832.61,27936.49,2669
1680793200,27936.49,28084.36,27837.91,27896.0,3422
1680796800,27896.0,27969.77,27730.56,27878.44,3688
1680800400,27878.44,27967.61,27873.84,27937.01,3298
1680804000,27937.01,28173.69,27927.69,28079.88,3762
1680807600,28081.02,28155.38,28032.58,28045.1,2628
1680811200,28056.53,28075.12,28004.68,28027.66,2256
1680814800,28029.07,28086.33,27943.59,27951.95,2225
1680818400,27951.95,28046.14,27933.54,28006.45,2092
1680822000,28006.44,28113.23,27954.3,27966.52,2316
1680825600,27966.51,28044.89,27944.57,27974.99,1785
1680829200,27974.99,28001.22,27878.98,27996.17,1686
1680832800,27996.17,28047.16,27996.17,28024.43,1274
1680836400,28024.43,28095.85,27983.4,28087.57,1597
1680840000,28087.57,28093.86,28026.79,28043.41,1194
1680843600,28043.03,28062.52,27913.14,28001.3,1541
1680847200,28001.3,28041.3,27963.63,28023.92,1248
1680850800,28023.92,28053.37,27983.97,28011.34,1385
1680854400,28011.34,28012.91,27861.73,27965.39,1928
1680858000,27965.39,27974.83,27886.85,27951.32,1862
1680861600,27951.32,27951.32,27757.18,27823.83,2421
1680865200,27823.83,27925.19,27786.74,27802.86,2731
1680868800,27802.86,27887.2,27774.3,27861.07,2003
1680872400,27861.07,27954.93,27847.15,27919.85,1799
1680876000,27919.85,27925.65,27789.27,27830.82,2024
1680879600,27831.2,27974.66,27779.34,27877.79,3399
1680883200,27877.79,27920.68,27820.42,27884.88,1815
1680886800,27884.88,27977.95,27879.98,27902.02,1956
1680890400,27902.02,27948.1,27893.62,27932.06,1408
1680894000,27932.06,27942.34,27844.53,27871.14,1614
1680897600,27871.14,27932.68,27871.13,27902.36,998
1680901200,27902.36,27921.35,27859.79,27879.65,1070
1680904800,27879.65,27896.48,27853.38,27888.14,1041
1680908400,27888.14,27914.56,27825.03,27854.44,1134
1680912000,27854.44,27900.54,27844.84,27882.79,975
1680915600,27882.79,27975.29,27853.24,27945.27,1328
1680919200,27945.28,27966.99,27882.0,27892.45,1440
1680922800,27892.45,27909.48,27851.59,27872.25,1264
