time,open,high,low,close,volume
1731481828,998.18,998.83,997.03,998.18,558
1731496228,998.18,1000.7,997.77,999.09,2923
1731510628,999.09,1001.32,998.44,1000.63,3814
1731525028,1000.63,1001.26,998.21,999.77,2641
1731539428,999.77,1001.94,999.8,999.85,3123
1731553828,999.85,999.74,999.69,999.71,333
1731568228,999.71,1000.34,996.35,1000.25,2277
1731582628,1000.25,1006.33,999.6,1000.54,2309
1731597028,1000.54,1000.74,999.12,999.35,1868
1731611428,999.35,999.75,996.76,998.4,3479
1731625828,998.4,998.35,995.72,997.68,3663
1731640228,997.68,996.98,995.34,996.69,613
1731654628,996.69,1001.13,996.86,998.36,3818
1731669028,998.36,997.99,995.62,997.97,2934
1731683428,997.97,999.68,996.23,998.66,4165
1731697828,998.66,998.85,994.97,996.82,3563
1731712228,996.82,995.67,993.12,995.63,1329
1731726628,995.63,996.24,991.93,993.9,2052
1731741028,993.9,995.13,993.24,994.3,654
1731755428,994.3,993.9,993.09,993.49,1082
1731769828,993.49,993.48,989.64,993.19,2318
1731784228,993.19,996.28,992.78,994.18,919
1731798628,994.18,998.02,992.33,993.62,2391
1731813028,993.62,997.79,993.8,994.11,3781
1731827428,994.11,996.21,992.98,993.51,2016
1731841828,993.51,993.62,991.51,992.74,1584
1731856228,992.74,993.16,987.76,991.82,1757
1731870628,991.82,995.5,992.26,992.36,1204
1731885028,992.36,994.92,990.37,992.04,3621
1731899428,992.04,991.32,986.4,991.16,1513
1731913828,991.16,993.12,990.29,992.39,1864
1731928228,992.39,992.59,986.53,991.04,3205
1731942628,991.04,996.91,990.48,992.11,721
1731957028,992.11,996.31,990.27,992.58,1147
1731971428,992.58,994.99,990.0,992.07,2068
1731985828,992.07,994.47,992.31,993.24,3590
1732000228,993.24,998.38,993.93,994.62,125
1732014628,994.62,995.42,990.75,993.91,3625
1732029028,993.91,993.35,992.67,993.18,4096
1732043428,993.18,995.21,994.87,995.11,3578
1732057828,995.11,997.52,995.41,996.28,4464
1732072228,996.28,997.59,993.67,997.34,1090
1732086628,997.34,995.32,992.36,994.74,4827
1732101028,994.74,994.64,991.99,993.19,4346
1732115428,993.19,997.11,992.84,992.95,1813
1732129828,992.95,994.08,989.87,993.43,2426
1732144228,993.43,996.36,992.26,995.28,3638
1732158628,995.28,1002.2,997.83,998.08,3469
1732173028,998.08,1000.37,993.29,998.55,2973
1732187428,998.55,999.78,996.51,999.54,3711
1732201828,999.54,999.01,995.84,998.32,153
1732216228,998.32,998.73,996.06,997.32,4365
1732230628,997.32,1000.49,996.37,997.55,3303
1732245028,997.55,1000.88,996.77,998.65,1170
1732259428,998.65,1001.57,995.71,997.87,3238
1732273828,997.87,996.98,995.14,996.71,2986
1732288228,996.71,995.1,994.97,995.02,4328
1732302628,995.02,996.43,994.19,995.34,4610
1732317028,995.34,994.69,993.37,993.63,1265
1732331428,993.63,995.85,988.79,993.09,2398
1732345828,993.09,996.92,992.89,993.23,1115
1732360228,993.23,994.34,990.49,993.39,3639
1732374628,993.39,996.08,992.19,994.6,3725
1732389028,994.6,996.39,994.14,996.12,2519
1732403428,996.12,996.83,993.06,995.36,621
1732417828,995.36,993.4,991.87,993.19,4592
1732432228,993.19,994.87,991.49,993.22,2758
1732446628,993.22,991.56,986.11,991.31,3055
1732461028,991.31,992.69,989.13,991.43,774
1732475428,991.43,991.47,990.99,991.29,247
1732489828,991.29,991.24,987.61,990.27,1763
1732504228,990.27,992.33,991.0,991.15,2041
1732518628,991.15,992.4,990.89,991.09,1444
1732533028,991.09,992.87,990.77,991.66,2122
1732547428,991.66,994.27,990.71,990.71,3240
1732561828,990.71,990.68,990.31,990.59,212
1732576228,990.59,994.79,990.23,990.74,113
1732590628,990.74,992.46,989.05,990.27,2554
1732605028,990.27,990.02,986.07,989.81,4422
1732619428,989.81,991.39,988.13,990.7,1801
1732633828,990.7,993.22,990.93,991.08,4581
1732648228,991.08,990.41,988.67,990.13,1535
1732662628,990.13,991.8,988.13,989.92,1154
1732677028,989.92,992.07,988.88,990.82,2671
1732691428,990.82,993.64,985.73,991.52,2372
1732705828,991.52,993.07,992.7,992.77,2399
1732720228,992.77,993.83,992.03,993.48,1944
1732734628,993.48,997.13,988.15,992.56,3200
1732749028,992.56,996.28,993.19,994.4,3875
1732763428,994.4,998.52,993.93,995.42,1361
1732777828,995.42,999.32,995.05,997.06,2492
1732792228,997.06,998.55,996.32,997.85,1622
1732806628,997.85,998.33,998.03,998.08,2058
1732821028,998.08,998.18,997.4,997.63,2787
1732835428,997.63,998.77,995.86,997.8,3287
1732849828,997.8,1000.94,996.52,998.79,1697
1732864228,998.79,998.8,998.29,998.61,3610
1732878628,998.61,999.54,998.64,998.93,440
1732893028,998.93,1001.54,999.93,1001.02,269
1732907428,1001.02,1002.03,998.96,1000.48,4862
1732921828,1000.48,1002.38,999.56,1000.87,1214
1732936228,1000.87,1001.17,1000.77,1001.07,3594
1732950628,1001.07,1002.87,997.3,1000.91,3922
1732965028,1000.91,999.11,997.95,998.73,4215
1732979428,998.73,1000.12,994.14,998.78,3110
1732993828,998.78,998.0,996.28,997.07,4542
1733008228,997.07,997.25,996.33,996.79,1508
1733022628,996.79,996.61,995.07,996.43,4626
1733037028,996.43,999.16,997.19,998.27,4269
1733051428,998.27,1002.33,996.84,998.35,4364
1733065828,998.35,1001.69,998.23,998.8,4609
1733080228,998.8,1001.99,995.06,998.64,4337
1733094628,998.64,997.89,996.68,996.95,3199
1733109028,996.95,997.99,994.79,997.02,1731
1733123428,997.02,998.76,997.49,997.76,3708
1733137828,997.76,998.74,995.34,998.03,3842
1733152228,998.03,1000.4,997.25,998.1,4218
1733166628,998.1,1000.64,995.87,997.76,4993
1733181028,997.76,1000.16,995.01,998.04,3142
1733195428,998.04,1000.64,998.11,998.98,1784
1733209828,998.98,1001.78,997.53,999.68,1672
1733224228,999.68,1000.31,995.94,998.61,1035
1733238628,998.61,1000.79,993.24,997.65,1400
1733253028,997.65,999.53,996.42,998.8,4662
1733267428,998.8,999.31,997.89,998.93,3110
1733281828,998.93,1001.04,996.73,999.83,4370
1733296228,999.83,1003.42,999.19,999.27,1942
1733310628,999.27,1002.21,1000.64,1000.72,2013
1733325028,1000.72,1000.34,998.49,999.48,499
1733339428,999.48,1004.06,998.78,999.33,4270
1733353828,999.33,1000.98,999.23,999.83,3192
1733368228,999.83,1000.69,996.01,998.97,3731
1733382628,998.97,999.18,993.15,998.31,1263
1733397028,998.31,997.94,996.98,997.61,2824
1733411428,997.61,999.74,994.43,997.86,3936
1733425828,997.86,998.45,996.06,997.05,1503
1733440228,997.05,996.7,992.58,996.22,4391
1733454628,996.22,997.8,994.57,995.7,4826
1733469028,995.7,995.34,993.18,994.36,219
1733483428,994.36,994.67,990.7,994.4,3048
1733497828,994.4,994.86,993.2,994.78,2150
1733512228,994.78,995.2,989.87,994.18,1002
1733526628,994.18,998.69,992.63,994.46,262
1733541028,994.46,996.27,992.75,994.63,2739
1733555428,994.63,996.53,993.83,994.47,4498
1733569828,994.47,996.75,994.24,996.74,4296
1733584228,996.74,998.86,995.07,997.56,1236
1733598628,997.56,997.8,996.21,996.71,3832
1733613028,996.71,1000.0,998.64,998.89,4437
1733627428,998.89,1000.28,998.22,998.83,1013
1733641828,998.83,1000.3,998.45,999.14,3710
1733656228,999.14,999.97,994.73,998.68,2852
1733670628,998.68,1000.6,997.02,998.89,2494
