time,open,high,low,close,volume
1680750000,2020.36,2020.51,2017.04,2017.09,3477
1680753600,2017.07,2017.12,2012.52,2012.72,7250
1680757200,2012.73,2013.31,2007.86,2010.96,5358
1680760800,2010.97,2012.26,2010.16,2011.37,2966
1680764400,2011.41,2013.92,2010.52,2013.62,2384
1680768000,2013.61,2015.98,2012.01,2015.65,3529
1680771600,2015.66,2016.87,2011.84,2013.77,4624
1680775200,2013.68,2018.13,2012.66,2016.37,5861
1680778800,2016.37,2019.68,2014.82,2017.38,5474
1680782400,2017.39,2020.4,2017.13,2019.6,3924
1680786000,2019.58,2020.85,2017.59,2020.31,4144
1680789600,2020.31,2020.97,2017.09,2018.54,4226
1680793200,2018.49,2020.73,2011.22,2012.94,9438
1680796800,2012.94,2014.2,2000.87,2003.58,12659
1680800400,2003.59,2012.1,2001.41,2011.84,10680
1680804000,2011.8,2013.05,2009.16,2011.22,7045
1680807600,2011.21,2014.98,2010.78,2011.71,5281
1680811200,2011.71,2012.52,2008.71,2009.96,4693
1680814800,2009.94,2011.57,2008.24,2009.23,3947
1680818400,2009.23,2009.48,2006.2,2006.46,3436
1680822000,2006.44,2008.16,2005.76,2007.27,1665
1681088400,1996.29,2006.55,1994.18,2005.53,2083
1681092000,2005.53,2006.05,2004.8,2005.57,1970
1681095600,2005.43,2005.89,1997.69,1998.34,4195
1681099200,1998.38,2000.74,1995.64,1997.12,5673
1681102800,1997.16,1997.34,1988.9,1991.15,5284
1681106400,1991.17,1992.94,1990.38,1990.99,2722
1681110000,1991.02,1993.77,1989.65,1992.21,2969
1681113600,1992.15,1995.18,1991.36,1994.52,3445
1681117200,1994.5,1996.38,1991.67,1995.83,3065
1681120800,1995.86,1997.58,1994.98,1997.46,3034
1681124400,1997.46,1999.37,1995.96,1997.33,3063
1681128000,1997.33,2001.91,1996.95,2000.63,2800
1681131600,2000.64,2002.84,1999.89,2001.91,3297
1681135200,2001.9,2003.01,2000.03,2001.58,4305
1681138800,2001.59,2002.01,1989.15,1989.51,8796
1681142400,1989.51,1994.41,1986.25,1988.1,11611
1681146000,1988.1,1992.0,1981.69,1987.56,9144
1681149600,1987.67,1990.05,1987.26,1988.65,5451
1681153200,1988.65,1990.94,1987.17,1989.79,4498
1681156800,1989.79,1991.14,1988.14,1989.01,4030
1681160400,1989.04,1990.86,1987.62,1990.44,3788
1681164000,1990.44,1992.83,1990.22,1991.54,3213
1681167600,1991.57,1991.72,1990.83,1991.0,766
1681174800,1991.0,1991.61,1990.32,1991.41,797
1681178400,1991.42,1992.57,1991.09,1992.46,1241
1681182000,1992.47,1995.46,1992.35,1993.21,3571
1681185600,1993.23,1993.44,1988.86,1991.22,4619
1681189200,1991.2,1998.02,1991.12,1997.78,4902
1681192800,1997.75,1998.21,1996.5,1997.56,2582
1681196400,1997.55,2000.05,1997.37,1999.83,2766
1681200000,1999.83,2001.57,1998.71,1999.08,3497
1681203600,1999.08,2001.89,1998.38,1999.24,4219
1681207200,1999.26,2003.71,1997.78,2002.09,5493
1681210800,2002.05,2007.48,2001.26,2004.61,4785
1681214400,2004.61,2005.41,2002.5,2004.56,3970
1681218000,2004.56,2005.02,2001.53,2004.43,4279
1681221600,2004.43,2004.43,1999.38,2000.46,4260
1681225200,2000.46,2002.57,1998.3,1998.58,5509
1681228800,1998.6,2002.44,1995.59,2001.44,8832
1681232400,2001.42,2004.69,1999.77,2002.46,8294
1681236000,2002.48,2006.25,2001.64,2004.13,6332
1681239600,2004.14,2006.63,2003.92,2006.22,4489
1681243200,2006.23,2006.45,2001.0,2005.57,3845
1681246800,2005.57,2005.89,2003.96,2004.47,2807
1681250400,2004.49,2006.75,2003.52,2004.14,3268
