time,open,high,low,close,volume
1680750000,2020.36,2020.5,2019.35,2020.26,957
1680750900,2020.24,2020.51,2018.79,2019.1,742
1680751800,2019.12,2019.2,2018.22,2018.91,700
1680752700,2018.98,2019.23,2017.04,2017.09,1078
1680753600,2017.07,2017.12,2013.18,2014.23,2497
1680754500,2014.2,2015.11,2013.37,2014.63,1329
1680755400,2014.62,2015.11,2012.72,2014.43,1668
1680756300,2014.41,2015.31,2012.52,2012.72,1756
1680757200,2012.73,2013.31,2010.85,2011.49,1929
1680758100,2011.46,2012.14,2010.49,2010.96,992
1680759000,2010.95,2011.13,2009.69,2010.03,1254
1680759900,2010.03,2011.57,2007.86,2010.96,1183
1680760800,2010.97,2011.55,2010.57,2010.62,960
1680761700,2010.63,2012.26,2010.16,2011.9,816
1680762600,2011.91,2012.02,2010.93,2011.04,590
1680763500,2011.04,2011.64,2010.96,2011.37,600
1680764400,2011.41,2011.64,2010.56,2010.61,690
1680765300,2010.61,2011.61,2010.52,2011.6,458
1680766200,2011.6,2012.57,2011.29,2012.54,644
1680767100,2012.5,2013.92,2012.49,2013.62,592
1680768000,2013.61,2013.85,2012.5,2013.12,568
1680768900,2013.12,2013.25,2012.01,2012.8,624
1680769800,2012.8,2015.51,2012.68,2014.46,1141
1680770700,2014.45,2015.98,2014.13,2015.65,1196
1680771600,2015.66,2016.87,2015.05,2015.17,903
1680772500,2015.16,2015.55,2012.36,2014.47,1041
1680773400,2014.5,2014.84,2011.84,2012.56,1451
1680774300,2012.56,2014.71,2011.98,2013.77,1229
1680775200,2013.68,2015.59,2012.66,2014.87,1351
1680776100,2014.87,2015.81,2014.45,2014.69,1372
1680777000,2014.69,2018.03,2014.46,2018.01,1821
1680777900,2018.0,2018.13,2015.97,2016.37,1317
1680778800,2016.37,2016.89,2014.82,2015.79,1482
1680779700,2015.76,2017.22,2015.39,2016.33,1456
1680780600,2016.33,2017.76,2015.6,2017.76,1223
1680781500,2017.77,2019.68,2017.05,2017.38,1313
1680782400,2017.39,2018.71,2017.13,2018.71,973
1680783300,2018.73,2019.43,2018.27,2018.42,744
1680784200,2018.43,2019.02,2017.24,2018.8,1063
1680785100,2018.84,2020.4,2018.29,2019.6,1144
1680786000,2019.58,2019.74,2017.59,2018.88,1092
1680786900,2018.88,2019.63,2017.95,2019.53,1081
1680787800,2019.53,2020.85,2019.01,2019.57,1125
1680788700,2019.57,2020.32,2018.98,2020.31,846
1680789600,2020.31,2020.97,2019.61,2019.95,1009
1680790500,2019.96,2020.37,2018.29,2018.48,1057
1680791400,2018.48,2019.06,2017.09,2018.33,1085
1680792300,2018.31,2018.86,2017.54,2018.54,1075
1680793200,2018.49,2018.9,2017.87,2018.0,1188
1680794100,2018.0,2018.17,2015.4,2016.63,1639
1680795000,2016.64,2020.73,2012.7,2013.93,3998
1680795900,2013.91,2015.48,2011.22,2012.94,2613
