time,open,high,low,close,volume
1772568000,5079.37,5094.27,5079.37,5092.41,932
1772568300,5092.1,5101.52,5090.64,5098.52,903
1772568600,5098.48,5103.93,5096.11,5103.62,855
1772568900,5103.24,5104.94,5097.41,5100.1,842
1772569200,5099.78,5100.81,5093.68,5097.33,885
1772569500,5097.9,5117.19,5097.61,5112.31,919
1772569800,5112.56,5118.83,5107.21,5117.36,900
1772570100,5116.13,5133.26,5112.7,5133.1,907
1772570400,5133.02,5137.39,5130.12,5133.35,871
1772570700,5133.34,5136.4,5127.14,5133.38,847
1772571000,5133.46,5138.16,5132.79,5136.83,867
1772571300,5136.74,5138.25,5131.0,5136.11,848
1772571600,5136.1,5148.85,5134.35,5140.02,845
1772571900,5140.03,5141.92,5127.74,5127.91,850
1772572200,5127.95,5128.1,5110.31,5112.11,898
1772572500,5112.49,5121.12,5102.0,5113.92,895
1772572800,5113.92,5121.21,5112.33,5116.95,806
1772573100,5116.95,5117.07,5102.62,5106.28,830
1772573400,5106.82,5112.67,5100.79,5102.02,833
1772573700,5101.91,5114.34,5099.44,5111.43,908
1772574000,5111.48,5119.07,5108.51,5118.98,917
1772574300,5119.03,5128.4,5117.07,5123.35,872
1772574600,5123.41,5126.01,5113.9,5120.59,912
1772574900,5120.71,5121.09,5107.34,5113.3,886
1772575200,5113.34,5126.9,5113.34,5116.27,883
1772575500,5116.43,5120.14,5112.14,5114.68,883
1772575800,5114.73,5123.18,5114.73,5118.88,864
1772576100,5118.88,5121.42,5114.05,5115.62,891
1772576400,5115.59,5130.35,5115.59,5129.52,862
1772576700,5129.57,5129.93,5122.38,5122.94,825
1772577000,5122.93,5126.39,5110.77,5115.66,864
1772577300,5115.66,5122.0,5107.51,5109.67,843
1772577600,5109.94,5113.25,5102.56,5111.61,861
1772577900,5111.57,5113.28,5100.82,5104.45,829
1772578200,5104.81,5105.83,5086.08,5095.79,931
1772578500,5095.75,5101.73,5094.49,5097.26,941
1772578800,5097.31,5106.97,5094.61,5105.28,617
1772579100,5105.16,5110.42,5101.17,5101.42,439
1772579400,5101.79,5104.81,5098.22,5098.75,392
1772579700,5098.8,5100.95,5089.61,5094.14,691
1772580000,5094.15,5099.63,5094.15,5099.54,716
1772580300,5099.98,5101.14,5089.55,5089.59,557
1772580600,5089.58,5092.62,5084.06,5092.58,501
1772580900,5092.43,5094.35,5085.75,5089.49,367
1772581200,5089.51,5096.39,5088.3,5091.89,415
1772581500,5091.89,5093.56,5084.56,5087.37,604
1772581800,5087.69,5090.97,5083.58,5088.18,582
1772582100,5088.15,5093.56,5087.76,5088.39,347
1772586000,5109.67,5113.67,5084.96,5111.87,696
1772586300,5111.87,5116.33,5105.02,5105.91,493
1772586600,5107.47,5118.36,5107.23,5117.61,569
1772586900,5117.6,5128.39,5116.87,5122.11,703
1772587200,5121.88,5127.53,5118.82,5124.33,555
1772587500,5124.3,5126.61,5120.08,5126.55,461
1772587800,5126.55,5127.76,5121.86,5126.46,628
1772588100,5126.96,5128.44,5117.27,5117.76,450
1772588400,5118.23,5125.84,5117.05,5125.51,598
1772588700,5125.51,5129.79,5124.58,5126.54,550
1772589000,5126.54,5126.72,5120.09,5124.43,532
1772589300,5124.43,5127.41,5122.58,5125.33,427
1772589600,5126.43,5126.43,5105.92,5114.88,817
1772589900,5114.88,5115.9,5107.13,5115.9,850
1772590200,5116.62,5120.32,5112.55,5115.81,745
1772590500,5115.94,5126.96,5113.67,5125.99,764
1772590800,5126.01,5128.85,5115.28,5119.5,787
1772591100,5119.42,5127.6,5116.7,5125.13,644
1772591400,5125.15,5130.3,5123.34,5124.71,658
1772591700,5124.7,5126.47,5122.52,5123.66,628
1772592000,5123.67,5137.64,5123.67,5132.29,646
1772592300,5132.26,5139.95,5131.71,5139.84,764
1772592600,5139.82,5140.4,5127.97,5129.56,782
1772592900,5129.48,5139.21,5128.16,5138.62,746
1772593200,5138.61,5158.53,5138.61,5154.84,924
1772593500,5154.83,5156.15,5147.87,5152.65,854
1772593800,5152.66,5162.67,5152.66,5159.37,852
1772594100,5159.49,5164.39,5154.41,5162.77,873
1772594400,5162.66,5164.02,5153.11,5158.91,870
1772594700,5158.93,5161.3,5146.94,5147.25,885
1772595000,5146.87,5154.16,5142.58,5145.27,947
1772595300,5145.57,5158.5,5145.57,5153.3,926
1772595600,5152.9,5163.56,5151.56,5163.08,908
1772595900,5163.06,5174.16,5158.13,5173.68,880
1772596200,5173.72,5178.33,5168.62,5171.44,898
1772596500,5171.46,5176.83,5169.16,5175.02,832
1772596800,5175.01,5177.57,5168.32,5170.67,899
1772597100,5170.75,5185.17,5169.35,5184.45,831
1772597400,5184.56,5190.83,5182.13,5190.09,838
1772597700,5190.13,5190.13,5179.47,5184.01,772
1772598000,5184.62,5184.99,5177.59,5178.84,743
1772598300,5178.86,5181.85,5176.12,5177.74,694
1772598600,5177.76,5179.91,5168.76,5170.04,877
1772598900,5170.06,5172.22,5164.12,5171.79,864
1772599200,5171.79,5180.02,5171.57,5179.79,747
1772599500,5180.35,5180.96,5163.44,5164.57,859
1772599800,5165.39,5171.82,5162.25,5163.31,905
1772600100,5163.34,5166.18,5154.2,5156.33,867
1772600400,5155.8,5160.24,5141.78,5142.91,838
1772600700,5143.1,5153.31,5141.49,5152.54,811
1772601000,5152.51,5157.17,5151.65,5156.09,773
1772601300,5156.09,5162.22,5151.54,5160.75,781
1772601600,5160.82,5166.45,5160.36,5165.81,778
1772601900,5165.79,5168.26,5158.57,5162.57,742
1772602200,5162.6,5167.88,5156.92,5156.96,774
1772602500,5157.24,5161.69,5154.23,5160.53,773
1772602800,5160.59,5164.71,5160.51,5162.92,756
1772603100,5162.97,5167.7,5159.7,5166.74,677
1772603400,5166.71,5172.19,5165.54,5169.29,727
1772603700,5169.3,5177.66,5167.41,5174.58,697
1772604000,5174.5,5177.63,5171.83,5174.64,744
1772604300,5174.63,5178.95,5173.12,5174.22,784
1772604600,5174.24,5181.15,5172.1,5174.04,686
1772604900,5174.07,5174.4,5166.71,5168.81,750
1772605200,5168.93,5170.45,5164.07,5165.03,648
1772605500,5165.04,5171.62,5162.98,5168.41,646
1772605800,5168.1,5170.67,5163.02,5170.57,685
1772606100,5170.49,5170.61,5162.8,5164.69,640
1772606400,5164.68,5164.68,5152.61,5161.62,792
1772606700,5161.6,5164.85,5155.28,5155.28,715
1772607000,5155.27,5160.38,5155.27,5158.07,641
1772607300,5158.06,5160.17,5155.35,5156.83,655
1772607600,5156.76,5160.61,5152.93,5153.53,779
1772607900,5153.99,5162.35,5152.19,5158.43,747
1772608200,5158.45,5166.37,5158.34,5161.15,697
1772608500,5161.15,5165.86,5158.23,5158.62,806
1772608800,5158.62,5159.68,5152.99,5153.85,805
1772609100,5153.86,5157.0,5152.94,5156.57,753
1772609400,5156.59,5165.72,5155.74,5165.21,844
1772609700,5165.22,5166.14,5158.41,5161.48,853
1772610000,5161.5,5167.64,5156.1,5160.25,826
1772610300,5160.23,5167.63,5154.31,5166.22,859
1772610600,5166.24,5167.91,5157.77,5158.14,853
1772610900,5158.16,5162.34,5154.12,5159.86,870
1772611200,5160.07,5160.07,5141.53,5141.68,886
1772611500,5142.27,5144.08,5122.01,5142.29,906
1772611800,5142.26,5148.05,5138.35,5141.92,908
1772612100,5141.59,5150.22,5140.08,5144.62,874
1772612400,5144.62,5145.28,5128.84,5134.74,886
1772612700,5135.54,5140.27,5134.04,5134.37,788
1772613000,5134.37,5153.06,5132.75,5151.91,874
